CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Cell,CustomerSegment
29559,4357,8,499815.3125,1,1,1,111,Lost
29923,4388,4,493816.8809,2,1,1,211,Needs Attention
29624,5119,4,486937.5937,5,1,1,511,Potential Loyalist
29992,4418,12,483162.6054,2,1,1,211,Needs Attention
29901,4388,12,481860.9122,2,1,1,211,Needs Attention
29834,4357,12,481357.9195,1,1,1,111,Lost
29825,4418,12,475892.0433,2,1,1,211,Needs Attention
30046,4357,8,471689.9206,1,1,1,111,Lost
29690,4357,12,470639.545,1,1,1,111,Lost
29707,4357,8,469525.749,1,1,1,111,Lost
29734,4418,12,469357.2899,2,1,1,211,Needs Attention
29703,4754,8,465429.5734,5,1,1,511,Potential Loyalist
30049,4357,8,461467.3178,1,1,1,111,Lost
29861,5119,4,460174.8591,5,1,1,511,Potential Loyalist
29844,4418,12,452727.9318,2,1,1,211,Needs Attention
29744,4418,8,449330.8159,2,1,1,211,Needs Attention
29950,4357,12,449023.1024,1,1,1,111,Lost
29702,4357,12,447403.4907,1,1,1,111,Lost
29888,4388,12,445392.9589,2,1,1,211,Needs Attention
29724,4388,12,444336.9798,2,1,1,211,Needs Attention
29940,4388,4,443136.5854,2,1,1,211,Needs Attention
29651,4357,12,442256.8765,1,1,1,111,Lost
30067,4418,12,442054.0945,2,1,1,211,Needs Attention
29885,4754,8,435986.1289,5,1,1,511,Potential Loyalist
29714,4357,12,432800.3352,1,1,1,111,Lost
29489,4418,12,428350.5326,2,1,1,211,Needs Attention
29955,4388,12,421079.058,2,1,1,211,Needs Attention
29938,4357,12,420767.7112,1,1,1,111,Lost
29637,4357,12,407563.0075,1,1,1,111,Lost
29594,4784,4,402874.3907,5,1,1,511,Potential Loyalist
29987,4418,4,402574.8569,2,1,1,211,Needs Attention
29647,4418,8,402240.7953,2,1,1,211,Needs Attention
29998,4723,4,399980.8799,5,1,1,511,Potential Loyalist
29587,4418,8,399672.8579,2,1,1,211,Needs Attention
29929,4357,8,393520.7995,1,1,1,111,Lost
29629,4357,4,389437.6577,1,1,1,111,Lost
30094,4388,8,381763.5549,2,1,1,211,Needs Attention
29995,4388,4,381607.9961,2,1,1,211,Needs Attention
30109,4418,8,378936.0887,2,1,1,211,Needs Attention
29704,4418,8,377088.6246,2,1,1,211,Needs Attention
29692,4418,8,366009.6535,2,1,1,211,Needs Attention
29736,4357,4,363872.0389,1,1,1,111,Lost
30043,4357,8,360816.5491,1,1,1,111,Lost
29895,4388,8,358195.771,2,1,1,211,Needs Attention
29560,4388,8,356524.0763,2,1,1,211,Needs Attention
29853,4754,8,350717.9904,5,1,1,511,Potential Loyalist
29618,4388,8,348640.9465,2,1,1,211,Needs Attention
29783,4418,8,348070.0746,2,1,1,211,Needs Attention
29615,4388,4,340396.3242,2,1,1,211,Needs Attention
29904,4388,8,340132.1268,2,1,1,211,Needs Attention
29509,4388,12,337311.2711,2,1,1,211,Needs Attention
29792,4388,8,331823.8605,2,1,1,211,Needs Attention
29956,4357,8,331231.2975,1,1,1,111,Lost
29896,4388,8,330853.4536,2,1,1,211,Needs Attention
29658,4418,8,329150.8419,2,1,1,211,Needs Attention
29910,4388,8,329064.433,2,1,1,211,Needs Attention
29698,4388,12,326883.5513,2,1,1,211,Needs Attention
29515,4570,8,326175.9828,4,1,1,411,Potential Loyalist
30065,4418,8,325324.054,2,1,1,211,Needs Attention
29889,4784,8,323176.2786,5,1,1,511,Potential Loyalist
29996,4388,8,322801.3294,2,1,1,211,Needs Attention
29543,4388,8,321014.9284,2,1,1,211,Needs Attention
29564,4388,4,320894.205,2,1,1,211,Needs Attention
29579,4357,8,320244.2906,1,1,1,111,Lost
29796,4357,4,318625.6048,1,1,1,111,Lost
29732,4388,8,313985.4367,2,1,1,211,Needs Attention
30118,4357,8,313671.5352,1,1,1,111,Lost
29789,4388,12,313549.3888,2,1,1,211,Needs Attention
30111,5119,4,311393.1457,5,1,1,511,Potential Loyalist
30055,4388,8,309440.2794,2,1,1,211,Needs Attention
30113,4357,8,307946.0796,1,1,1,111,Lost
29693,4418,4,307800.8569,2,1,1,211,Needs Attention
29601,4388,8,302983.1192,2,1,1,211,Needs Attention
29935,4388,8,302690.5743,2,1,1,211,Needs Attention
29793,4723,4,302119.1881,5,1,1,511,Potential Loyalist
30076,4388,12,302061.1054,2,1,1,211,Needs Attention
29525,5088,4,298046.6089,5,1,1,511,Potential Loyalist
29649,4723,8,295434.8253,5,1,1,511,Potential Loyalist
29836,4754,4,291627.3902,5,1,1,511,Potential Loyalist
29909,4418,8,285873.6939,2,1,1,211,Needs Attention
29822,4357,8,281909.8552,1,1,1,111,Lost
29627,4388,8,281414.838,2,1,1,211,Needs Attention
30075,4418,8,280716.3647,2,1,1,211,Needs Attention
29891,4357,8,279722.7664,1,1,1,111,Lost
29605,4418,8,279225.9956,2,1,1,211,Needs Attention
29710,5088,4,277612.9119,5,1,1,511,Potential Loyalist
29916,4357,4,270690.6142,1,1,1,111,Lost
29499,4357,8,264645.3146,1,1,1,111,Lost
29622,4357,10,262408.3464,1,1,1,111,Lost
30095,4388,12,257252.7645,2,1,1,211,Needs Attention
29963,4388,12,251643.9575,2,1,1,211,Needs Attention
29488,4357,4,249804.8673,1,1,1,111,Lost
29917,4357,4,249384.5213,1,1,1,111,Lost
29947,4388,8,248869.8958,2,1,1,211,Needs Attention
29550,4357,4,244854.0475,1,1,1,111,Lost
29843,4357,4,243845.1788,1,1,1,111,Lost
30070,4418,4,241374.5037,2,1,1,211,Needs Attention
29549,4784,8,238924.2599,5,1,1,511,Potential Loyalist
29695,4357,4,236341.6203,1,1,1,111,Lost
29786,4388,8,236210.9015,2,1,1,211,Needs Attention
29643,4388,4,230789.189,2,1,1,211,Needs Attention
29932,4357,4,228053.1314,1,1,1,111,Lost
30083,4723,4,225213.746,5,1,1,511,Potential Loyalist
29589,4418,4,223583.8648,2,1,1,211,Needs Attention
29557,4357,4,222988.2625,1,1,1,111,Lost
29608,4388,4,221704.253,2,1,1,211,Needs Attention
29513,4754,4,219040.5091,5,1,1,511,Potential Loyalist
29880,4388,12,218031.225,2,1,1,211,Needs Attention
29921,5088,4,217615.377,5,1,1,511,Potential Loyalist
30116,4418,4,211671.2674,2,1,1,211,Needs Attention
29609,4388,4,210334.4128,2,1,1,211,Needs Attention
29738,4357,4,210100.7797,1,1,1,111,Lost
29563,4357,4,208806.1592,1,1,1,111,Lost
29521,4388,12,208054.1284,2,1,1,211,Needs Attention
29660,4357,4,206276.9149,1,1,1,111,Lost
29746,4723,8,205886.8086,5,1,1,511,Potential Loyalist
29524,4388,4,204728.0888,2,1,1,211,Needs Attention
29954,4723,4,202494.917,5,1,1,511,Potential Loyalist
29727,4388,4,201885.6157,2,1,1,211,Needs Attention
29774,5119,4,197614.4995,5,1,1,511,Potential Loyalist
30105,4357,8,195196.9483,1,1,1,111,Lost
29915,4357,9,194043.4591,1,1,1,111,Lost
29625,4357,4,191750.1446,1,1,1,111,Lost
29945,4388,11,186803.4277,2,1,1,211,Needs Attention
30051,4418,4,185558.8316,2,1,1,211,Needs Attention
29925,4843,7,182777.7771,5,1,1,511,Potential Loyalist
30071,4357,4,181477.8617,1,1,1,111,Lost
29504,5088,4,181006.1299,5,1,1,511,Potential Loyalist
29828,4388,8,178184.8558,2,1,1,211,Needs Attention
29941,4418,4,176701.5844,2,1,1,211,Needs Attention
29561,4388,4,175334.3856,2,1,1,211,Needs Attention
29958,4418,9,173851.9306,2,1,1,211,Needs Attention
29725,4388,4,173266.5894,2,1,1,211,Needs Attention
29946,4754,8,172785.8625,5,1,1,511,Potential Loyalist
29582,5119,4,172671.1241,5,1,1,511,Potential Loyalist
29811,4418,12,170328.5592,2,1,1,211,Needs Attention
29706,4388,4,169271.0046,2,1,1,211,Needs Attention
29968,4388,11,168144.5376,2,1,1,211,Needs Attention
29942,4388,4,167810.3704,2,1,1,211,Needs Attention
29737,4418,4,167690.1309,2,1,1,211,Needs Attention
29898,5149,4,167617.4199,5,1,1,511,Potential Loyalist
29720,4357,4,167479.4606,1,1,1,111,Lost
29787,4935,6,167452.6003,5,1,1,511,Potential Loyalist
30101,4388,4,166847.2483,2,1,1,211,Needs Attention
29645,4357,4,166814.9731,1,1,1,111,Lost
30045,4754,4,166384.0535,5,1,1,511,Potential Loyalist
29795,4418,8,166136.4831,2,1,1,211,Needs Attention
30060,4388,8,164824.0728,2,1,1,211,Needs Attention
30059,4388,4,164735.9592,2,1,1,211,Needs Attention
29967,5088,4,164650.482,5,1,1,511,Potential Loyalist
29628,4357,4,163865.4832,1,1,1,111,Lost
29511,4388,11,163046.6378,2,1,1,211,Needs Attention
30108,4754,4,162979.1262,5,1,1,511,Potential Loyalist
29528,4357,8,162305.8093,1,1,1,111,Lost
29964,4357,4,160410.3804,1,1,1,111,Lost
30044,4754,4,159695.459,5,1,1,511,Potential Loyalist
30056,5119,4,158661.4517,5,1,1,511,Potential Loyalist
29492,4357,6,158025.1722,1,1,1,111,Lost
29842,4357,10,156413.2374,1,1,1,111,Lost
29742,5119,4,156366.7469,5,1,1,511,Potential Loyalist
29937,4784,4,155877.0993,5,1,1,511,Potential Loyalist
29749,5119,4,155077.5481,5,1,1,511,Potential Loyalist
29748,5088,4,150169.1642,5,1,1,511,Potential Loyalist
29899,4388,4,149592.9358,2,1,1,211,Needs Attention
29552,4357,4,148798.8482,1,1,1,111,Lost
30096,4418,9,148385.9496,2,1,1,211,Needs Attention
29484,4723,7,147804.9208,5,1,1,511,Potential Loyalist
29953,4754,4,147426.0348,5,1,1,511,Potential Loyalist
29500,4418,7,147107.0296,2,1,1,211,Needs Attention
29911,4388,4,144435.8847,2,1,1,211,Needs Attention
29551,4357,4,143019.6297,1,1,1,111,Lost
29918,4388,4,141699.989,2,1,1,211,Needs Attention
29510,5119,4,141133.3059,5,1,1,511,Potential Loyalist
30009,4388,8,140787.7392,2,1,1,211,Needs Attention
29642,4357,9,139680.9176,1,1,1,111,Lost
29685,4357,12,136053.7081,1,1,1,111,Lost
29817,4388,4,135766.4747,2,1,1,211,Needs Attention
29922,4357,4,132439.4619,1,1,1,111,Lost
30082,4357,4,132423.9085,1,1,1,111,Lost
29595,4418,4,131484.2996,2,1,1,211,Needs Attention
29894,4418,4,131237.7017,2,1,1,211,Needs Attention
29931,4357,4,130404.7884,1,1,1,111,Lost
30092,4357,4,130063.1207,1,1,1,111,Lost
29739,4723,4,128791.75,5,1,1,511,Potential Loyalist
29907,4388,4,127453.7862,2,1,1,211,Needs Attention
29485,4357,4,127379.7919,1,1,1,111,Lost
29534,4357,4,127302.9333,1,1,1,111,Lost
29841,4357,4,127265.1484,1,1,1,111,Lost
29699,4754,4,126587.3691,5,1,1,511,Potential Loyalist
29810,4357,12,124014.5979,1,1,1,111,Lost
30004,4478,7,122815.4725,3,1,1,311,Potential Loyalist
30063,4388,4,121147.8071,2,1,1,211,Needs Attention
29592,4357,12,121101.8185,1,1,1,111,Lost
29820,4418,4,120813.0175,2,1,1,211,Needs Attention
30097,4357,4,120560.4446,1,1,1,111,Lost
30073,4388,4,119292.9236,2,1,1,211,Needs Attention
29821,4357,4,119231.7975,1,1,1,111,Lost
29823,4357,4,119150.4488,1,1,1,111,Lost
29776,4418,4,116621.1333,2,1,1,211,Needs Attention
30087,4357,4,115500.1941,1,1,1,111,Lost
29892,4570,9,114722.0767,4,1,1,411,Potential Loyalist
30106,4723,8,113981.9967,5,1,1,511,Potential Loyalist
29846,4388,12,113785.9264,2,1,1,211,Needs Attention
29531,4357,11,113172.072,1,1,1,111,Lost
29951,4357,7,112703.6757,1,1,1,111,Lost
30093,4388,4,111168.3274,2,1,1,211,Needs Attention
30005,4388,4,109753.0267,2,1,1,211,Needs Attention
29496,4357,4,107741.109,1,1,1,111,Lost
29571,4388,12,107313.0962,2,1,1,211,Needs Attention
29803,4357,12,107198.4605,1,1,1,111,Lost
29809,4357,8,106357.9807,1,1,1,111,Lost
29581,4449,9,106288.0572,3,1,1,311,Potential Loyalist
29928,4388,4,103991.2657,2,1,1,211,Needs Attention
29718,4784,8,102216.0824,5,1,1,511,Potential Loyalist
29824,4418,9,99904.7516,2,1,1,211,Needs Attention
30026,4388,8,99688.7645,2,1,1,211,Needs Attention
30100,5119,4,99440.3238,5,1,1,511,Potential Loyalist
30091,4388,8,99385.9745,2,1,1,211,Needs Attention
29906,5119,4,98531.0126,5,1,1,511,Potential Loyalist
29491,5149,4,98273.5468,5,1,1,511,Potential Loyalist
29883,4996,5,98196.569,5,1,1,511,Potential Loyalist
29696,4357,8,97102.3608,1,1,1,111,Lost
29815,4357,8,97031.2173,1,1,1,111,Lost
29981,4418,8,96507.6623,2,1,1,211,Needs Attention
29773,5119,4,95924.0197,5,1,1,511,Potential Loyalist
30090,5088,4,93981.0186,5,1,1,511,Potential Loyalist
29784,4388,8,93888.441,2,1,1,211,Needs Attention
30011,4388,11,93877.1811,2,1,1,211,Needs Attention
29533,4418,12,93332.0095,2,1,1,211,Needs Attention
29684,4388,8,92548.8494,2,1,1,211,Needs Attention
29769,5088,4,92300.5485,5,1,1,511,Potential Loyalist
29912,5149,4,92154.313,5,1,1,511,Potential Loyalist
29717,4662,7,88435.3409,5,1,1,511,Potential Loyalist
29974,4509,5,87227.3226,4,1,1,411,Potential Loyalist
29661,4784,6,86090.9919,5,1,1,511,Potential Loyalist
30088,5088,4,83314.8579,5,1,1,511,Potential Loyalist
29794,5119,4,80262.2493,5,1,1,511,Potential Loyalist
29961,4388,10,79847.8229,2,1,1,211,Needs Attention
29807,5119,4,77862.1397,5,1,1,511,Potential Loyalist
29487,4357,11,77585.195,1,1,1,111,Lost
30014,4388,4,77287.5609,2,1,1,211,Needs Attention
29865,4388,12,77139.5923,2,1,1,211,Needs Attention
29538,4388,4,76266.9402,2,1,1,211,Needs Attention
30020,4357,4,74771.1754,1,1,1,111,Lost
29798,4388,8,74645.4634,2,1,1,211,Needs Attention
29620,4388,12,74518.6883,2,1,1,211,Needs Attention
29577,4357,12,73278.6485,1,1,1,111,Lost
29740,4357,8,72854.4681,1,1,1,111,Lost
29985,4388,8,70217.2163,2,1,1,211,Needs Attention
29666,4388,4,69597.4879,2,1,1,211,Needs Attention
29680,4754,8,69588.4447,5,1,1,511,Potential Loyalist
29972,4357,4,69515.4239,1,1,1,111,Lost
29708,5088,4,69381.6517,5,1,1,511,Potential Loyalist
30030,4388,8,68644.5658,2,1,1,211,Needs Attention
30029,4357,8,68384.4244,1,1,1,111,Lost
29761,4418,12,68068.6803,2,1,1,211,Needs Attention
29805,4418,8,67712.4799,2,1,1,211,Needs Attention
29539,4388,12,67481.63,2,1,1,211,Needs Attention
29544,4388,8,66718.9124,2,1,1,211,Needs Attention
30015,4388,4,66640.3556,2,1,1,211,Needs Attention
29877,4357,4,66227.5116,1,1,1,111,Lost
29757,4388,12,65505.3258,2,1,1,211,Needs Attention
29526,4388,4,63438.0774,2,1,1,211,Needs Attention
29791,5119,4,62725.1342,5,1,1,511,Potential Loyalist
29570,4418,12,61854.5431,2,1,1,211,Needs Attention
29856,4357,8,61405.0318,1,1,1,111,Lost
29653,4357,4,61333.7327,1,1,1,111,Lost
29540,4388,8,60010.9459,2,1,1,211,Needs Attention
29655,5088,4,59709.5091,5,1,1,511,Potential Loyalist
29797,4388,8,58808.1531,2,1,1,211,Needs Attention
29731,4388,12,58418.6364,2,1,1,211,Needs Attention
30039,4418,8,55823.3779,2,1,1,211,Needs Attention
29780,4388,8,55608.3548,2,1,1,211,Needs Attention
29813,5119,4,54905.1516,5,1,1,511,Potential Loyalist
29667,4754,4,53326.5664,5,1,1,511,Potential Loyalist
29671,4418,4,52748.2969,2,1,1,211,Needs Attention
29558,4662,9,51533.2559,5,1,1,511,Potential Loyalist
30037,4357,8,51183.5661,1,1,1,111,Lost
29975,4357,8,51015.5565,1,1,1,111,Lost
29632,5088,4,50997.8805,5,1,1,511,Potential Loyalist
29778,4418,8,50673.1856,2,1,1,211,Needs Attention
29654,4418,8,50149.2315,2,1,1,211,Needs Attention
29586,4388,8,50117.8904,2,1,1,211,Needs Attention
29799,4357,4,49614.9179,1,1,1,111,Lost
29659,4540,7,49438.7051,4,1,1,411,Potential Loyalist
29520,4418,8,48061.4725,2,1,1,211,Needs Attention
29664,5119,4,48054.0631,5,1,1,511,Potential Loyalist
29663,4723,4,47094.0902,5,1,1,511,Potential Loyalist
29675,4388,12,46795.976,2,1,1,211,Needs Attention
29598,4388,8,46391.1048,2,1,1,211,Needs Attention
29866,4570,6,45690.8544,4,1,1,411,Potential Loyalist
29721,4357,12,45348.5877,1,1,1,111,Lost
29683,4418,8,45316.8917,2,1,1,211,Needs Attention
29873,4357,8,45166.9405,1,1,1,111,Lost
29779,4388,4,44581.9065,2,1,1,211,Needs Attention
29656,4418,4,44104.1959,2,1,1,211,Needs Attention
29709,4357,8,44065.4622,1,1,1,111,Lost
29897,4357,12,43717.8009,1,1,1,111,Lost
29669,4357,11,41979.0807,1,1,1,111,Lost
29596,5149,4,41264.0391,5,1,1,511,Potential Loyalist
29986,4388,8,40188.4765,2,1,1,211,Needs Attention
29677,4388,8,39661.4212,2,1,1,211,Needs Attention
29979,4388,4,38649.3061,2,1,1,211,Needs Attention
29830,4388,10,38452.4651,2,1,1,211,Needs Attention
29759,5149,4,36756.0713,5,1,1,511,Potential Loyalist
29633,4388,7,36079.2038,2,1,1,211,Needs Attention
30022,4388,11,35940.1377,2,1,1,211,Needs Attention
29982,4357,11,35703.6859,1,1,1,111,Lost
29670,4418,4,34882.524,2,1,1,211,Needs Attention
29634,4418,4,34605.00,2,1,1,211,Needs Attention
29973,4784,7,34242.491,5,1,1,511,Potential Loyalist
29762,4357,4,33399.5723,1,1,1,111,Lost
29879,4418,8,33364.2043,2,1,1,211,Needs Attention
29781,4357,8,33259.9208,1,1,1,111,Lost
29878,4357,4,33032.3816,1,1,1,111,Lost
30047,4388,7,32609.6356,2,1,1,211,Needs Attention
29686,5088,4,32409.8546,5,1,1,511,Potential Loyalist
29869,4388,8,31992.6547,2,1,1,211,Needs Attention
29613,4784,4,31727.7716,5,1,1,511,Potential Loyalist
29506,4388,4,31667.3341,2,1,1,211,Needs Attention
29631,4418,4,30395.4433,2,1,1,211,Needs Attention
29970,4418,4,30177.3446,2,1,1,211,Needs Attention
30007,4357,8,30113.5272,1,1,1,111,Lost
29566,5149,4,29903.9498,5,1,1,511,Potential Loyalist
29687,4357,4,29798.4906,1,1,1,111,Lost
29678,4357,8,28411.1304,1,1,1,111,Lost
29816,4388,8,28309.9672,2,1,1,211,Needs Attention
29969,4905,6,28114.4842,5,1,1,511,Potential Loyalist
29755,5088,4,27968.3147,5,1,1,511,Potential Loyalist
30034,4357,4,27794.1107,1,1,1,111,Lost
29801,4357,4,27421.8165,1,1,1,111,Lost
29635,4357,8,26741.013,1,1,1,111,Lost
29874,4418,4,25614.0199,2,1,1,211,Needs Attention
30027,4357,4,25454.6959,1,1,1,111,Lost
29673,5088,4,25153.6109,5,1,1,511,Potential Loyalist
29814,4388,4,25064.6472,2,1,1,211,Needs Attention
30019,4357,8,24931.8214,1,1,1,111,Lost
29593,4388,8,24927.7595,2,1,1,211,Needs Attention
29988,4754,8,24593.9994,5,1,1,511,Potential Loyalist
29519,4388,4,24584.3747,2,1,1,211,Needs Attention
29871,4418,4,24125.5655,2,1,1,211,Needs Attention
29569,4388,10,24082.9023,2,1,1,211,Needs Attention
29553,4357,4,23919.1909,1,1,1,111,Lost
29691,4388,7,23094.0255,2,1,1,211,Needs Attention
29984,4388,4,22929.4604,2,1,1,211,Needs Attention
29636,4784,4,22534.9569,5,1,1,511,Potential Loyalist
30052,5149,4,21863.8998,5,1,1,511,Potential Loyalist
29876,4754,4,21560.4034,5,1,1,511,Potential Loyalist
30035,4388,4,21186.4118,2,1,1,211,Needs Attention
29983,4388,8,21069.7806,2,1,1,211,Needs Attention
29747,4418,9,20895.9208,2,1,1,211,Needs Attention
29591,4418,4,20867.0069,2,1,1,211,Needs Attention
29574,4357,8,20712.4174,1,1,1,111,Lost
29527,4357,4,20366.1058,1,1,1,111,Lost
29804,4357,4,20330.4564,1,1,1,111,Lost
29750,4357,5,20326.274,1,1,1,111,Lost
30054,4388,4,19949.7654,2,1,1,211,Needs Attention
29600,4723,3,19798.5095,5,1,1,511,Potential Loyalist
29572,4357,4,19628.4772,1,1,1,111,Lost
29867,4418,7,19502.5955,2,1,1,211,Needs Attention
29976,4723,4,19322.199,5,1,1,511,Potential Loyalist
29610,4784,7,18398.3255,5,1,1,511,Potential Loyalist
29494,4357,9,18275.1045,1,1,1,111,Lost
29800,4388,5,18228.3542,2,1,1,211,Needs Attention
29517,4388,4,18084.8734,2,1,1,211,Needs Attention
29745,4418,8,17802.6999,2,1,1,211,Needs Attention
29588,4388,10,17361.1884,2,1,1,211,Needs Attention
29837,4418,8,17225.5661,2,1,1,211,Needs Attention
29554,4662,8,16912.9207,5,1,1,511,Potential Loyalist
30013,5088,3,16897.722,5,1,1,511,Potential Loyalist
30017,4754,4,16419.2646,5,1,1,511,Potential Loyalist
29903,4357,7,16240.964,1,1,1,111,Lost
29606,4418,10,16030.152,2,1,1,211,Needs Attention
29568,4357,8,15976.553,1,1,1,111,Lost
29535,4357,8,15812.5851,1,1,1,111,Lost
29555,4570,5,15378.0241,4,1,1,411,Potential Loyalist
29711,4357,6,15123.6669,1,1,1,111,Lost
29868,4388,4,14812.7687,2,1,1,211,Needs Attention
29890,4509,8,14794.6375,4,1,1,411,Potential Loyalist
12301,4366,5,14691.395,1,1,1,111,Lost
12132,4400,5,14690.1686,2,1,1,211,Needs Attention
12308,4367,5,14662.5435,1,1,1,111,Lost
12131,4407,5,14658.9191,2,1,1,211,Needs Attention
12300,4400,5,14633.1836,2,1,1,211,Needs Attention
12321,4365,5,14603.2934,1,1,1,111,Lost
12124,4410,5,14581.1824,2,1,1,211,Needs Attention
12307,4369,5,14556.3751,2,1,1,211,Needs Attention
12296,4392,5,14546.9273,2,1,1,211,Needs Attention
29681,4540,5,14400.5708,4,1,1,411,Potential Loyalist
29977,4388,4,14320.2259,2,1,1,211,Needs Attention
11433,4433,6,14265.1836,3,1,1,311,Potential Loyalist
29626,4388,7,14250.8476,2,1,1,211,Needs Attention
29676,4357,7,14203.9081,1,1,1,111,Lost
29518,4357,5,13921.0304,1,1,1,111,Lost
29863,4388,4,13862.1415,2,1,1,211,Needs Attention
11439,4397,6,13800.5325,2,1,1,211,Needs Attention
30061,4388,4,13647.4425,2,1,1,211,Needs Attention
30042,4478,11,13583.5227,3,1,1,311,Potential Loyalist
29682,4418,8,13525.1368,2,1,1,211,Needs Attention
30028,4754,4,13196.6562,5,1,1,511,Potential Loyalist
29556,4388,4,13147.5776,2,1,1,211,Needs Attention
30114,4418,8,13135.0333,2,1,1,211,Needs Attention
30012,4754,7,12778.5771,5,1,1,511,Potential Loyalist
30021,4388,4,12686.2211,2,1,1,211,Needs Attention
11241,4388,7,12673.4532,2,1,1,211,Needs Attention
29808,5088,3,12665.7725,5,1,1,511,Potential Loyalist
30058,4388,8,12543.4908,2,1,1,211,Needs Attention
30008,4357,5,12534.8796,1,1,1,111,Lost
29530,4723,4,12455.7997,5,1,1,511,Potential Loyalist
29730,4357,6,12438.7096,1,1,1,111,Lost
11417,4341,7,12429.5465,1,1,1,111,Lost
11420,4357,7,12376.8506,1,1,1,111,Lost
11242,4352,7,12230.1493,1,1,1,111,Lost
30003,4723,4,12066.9183,5,1,1,511,Potential Loyalist
29652,4357,4,12049.8414,1,1,1,111,Lost
12655,4522,4,12044.0802,4,1,1,411,Potential Loyalist
29623,4509,3,12019.4344,4,1,1,411,Potential Loyalist
13263,4503,4,12013.6264,4,1,1,411,Potential Loyalist
12323,4555,4,11974.7746,4,1,1,411,Potential Loyalist
12333,4534,4,11966.2882,4,1,1,411,Potential Loyalist
12650,4514,4,11949.0613,4,1,1,411,Potential Loyalist
29962,4357,8,11945.3244,1,1,1,111,Lost
12631,4532,4,11933.4697,4,1,1,411,Potential Loyalist
12632,4523,4,11926.5635,4,1,1,411,Potential Loyalist
12332,4515,4,11922.4308,4,1,1,411,Potential Loyalist
13405,4485,4,11910.3642,3,1,1,311,Potential Loyalist
11245,4345,4,11691.2869,1,1,1,111,Lost
11246,4336,4,11685.7397,1,1,1,111,Lost
11237,4361,4,11675.85,1,1,1,111,Lost
30031,4357,4,11670.4948,1,1,1,111,Lost
30024,4388,4,11639.3708,2,1,1,211,Needs Attention
11425,4335,6,11634.1343,1,1,1,111,Lost
11429,4332,6,11567.5595,1,1,1,111,Lost
29503,4388,7,11542.2556,2,1,1,211,Needs Attention
29597,4388,4,11509.0757,2,1,1,211,Needs Attention
29939,4357,4,11399.2362,1,1,1,111,Lost
29948,4357,3,11325.5993,1,1,1,111,Lost
30023,4388,7,11245.176,2,1,1,211,Needs Attention
11428,4395,4,10999.4574,2,1,1,211,Needs Attention
11427,4397,4,10959.3791,2,1,1,211,Needs Attention
11431,4417,4,10953.843,2,1,1,211,Needs Attention
11423,4397,4,10944.992,2,1,1,211,Needs Attention
11249,4432,4,10928.7485,3,1,1,311,Potential Loyalist
11412,4406,4,10917.3559,2,1,1,211,Needs Attention
14186,4466,4,10824.9337,3,1,1,311,Potential Loyalist
11421,4408,4,10806.9444,2,1,1,211,Needs Attention
29806,4357,4,10778.51,1,1,1,111,Lost
